No.,Types,Project Name,Unit,Longitude,Latitude,Established date (yr),Status,Capacity (MW),Domestic owner name,,Foreign owner name,Total investment amount,Total amount from domestic sources,"Total amount from foreign sources
",Money not identifiable,Recipient,"Domestic owner's contribution, Share (%)","Domestic owner's contribution, Amount","Foreign owner's contribution, Share (%)","Foreign owner's contribution, Amount",Total Identified amount of foreign finance,Total Identified amount of domestic finance (mio USD),Lifecycle of plant (yr),CO2 Carbon Emission,Real Cost of Coal,Project Impact,References
,,,,,,,,,Sponsor (check (check it belongs to financier or owner),Parent Company (check it belongs to financier or owner),,,,,,,,,,,,,,,,,Wiki page
1,coal,Nagan Raya power station,Nagan Raya power station Unit 1,96.1989402,4.1073603,2013,Operating,110,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/PT5c8f
2,coal,Nagan Raya power station,Nagan Raya power station Unit 2,96.1989402,4.1073603,2014,Operating,110,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/PT5c8f
3,coal,Nagan Raya power station,Nagan Raya power station Unit 3,96.1989402,4.1073603,2019,Pre,200,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/PT5c8f
4,coal,Nagan Raya power station,Nagan Raya power station Unit 4,96.1989402,4.1073603,2020,Pre,200,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/PT5c8f
5,coal,Celukan Bawang power station,Celukan Bawang power station Unit 1,114.8515677,-8.1962945,2015,Operating,127,PT General Energy Bali,China Huadian,,,,,,,,,,,,,,,,,http://bit.ly/1gCeDSK
6,coal,Celukan Bawang power station,Celukan Bawang power station Unit 2,114.8515677,-8.1962945,2015,Operating,127,PT General Energy Bali,China Huadian,,,,,,,,,,,,,,,,,http://bit.ly/1gCeDSK
7,coal,Celukan Bawang power station,Celukan Bawang power station Unit 3,114.8515677,-8.1962945,2015,Operating,127,PT General Energy Bali,China Huadian,,,,,,,,,,,,,,,,,http://bit.ly/1gCeDSK
8,coal,Celukan Bawang power station,Celukan Bawang power station Unit 4,114.8515677,-8.1962945,,Shelved,330,PT General Energy Bali,China Huadian,,,,,,,,,,,,,,,,,http://bit.ly/1gCeDSK
9,coal,Celukan Bawang power station,Celukan Bawang power station Unit 5,114.8515677,-8.1962945,,Shelved,330,PT General Energy Bali,China Huadian,,,,,,,,,,,,,,,,,http://bit.ly/1gCeDSK
10,coal,Karang Asem power station,Karang Asem power station Unit 1,115.516667,-8.366667,,Cancelled,100,Truba Alam Manunggal Engineering,Truba Manunggal,,,,,,,,,,,,,,,,,http://bit.ly/1ju8VDa
11,coal,Karang Asem power station,Karang Asem power station Unit 2,115.516667,-8.366667,,Cancelled,100,Truba Alam Manunggal Engineering,Truba Manunggal,,,,,,,,,,,,,,,,,http://bit.ly/1ju8VDa
12,coal,Bangka Baru power station,Bangka Baru 1,106.116667,-2.133333,2014,Operating,30,Pt Pln Wilayah Bangka-Belitung,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/23Xae5e
13,coal,Bangka Baru power station,Bangka Baru 2,106.116667,-2.133333,2014,Operating,30,Pt Pln Wilayah Bangka-Belitung,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/23Xae5e
14,coal,Bangka-1 power station,Bangka-1 power station Unit 1,106.116667,-2.133333,,Announced,100,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/2h9HO4K
15,coal,Bangka-1 power station,Bangka-1 power station Unit 2,106.116667,-2.133333,,Announced,100,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/2h9HO4K
16,coal,Asahimas Chemical power station,Asahimas Chemical power station Unit 1,105.9398746,-6.0293475,2018,Announced,150,Asahimas Chemical,Asashi Glass,,,,,,,,,,,,,,,,,http://bit.ly/1ErJD4h
17,coal,Asahimas Chemical power station,Asahimas Chemical power station Unit 2,105.9398746,-6.0293475,2018,Announced,150,Asahimas Chemical,Asashi Glass,,,,,,,,,,,,,,,,,http://bit.ly/1ErJD4h
18,coal,Banten Labuan power station,Banten Labuan power station Unit 1,105.8277797,-6.3921788,2009,Operating,316,PT Indonesia Power,PT Indonesia Power,,,,,,,,,,,,,,,,,http://bit.ly/1MjnUAq
19,coal,Banten Labuan power station,Banten Labuan power station Unit 2,105.8277797,-6.3921788,2010,Operating,316,PT Indonesia Power,PT Indonesia Power,,,,,,,,,,,,,,,,,http://bit.ly/1MjnUAq
20,coal,Banten Lontar power station,Banten Lontar power station Unit 1,106.4643002,-6.0588745,2011,Operating,315,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/1MjlIcn
21,coal,Banten Lontar power station,Banten Lontar power station Unit 2,106.4643002,-6.0588745,2012,Operating,315,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/1MjlIcn
22,coal,Banten Lontar power station,Banten Lontar power station Unit 3,106.4643002,-6.0588745,2012,Operating,315,PT PLN Persero,PT PLN Persero,,,,,,,,,,,,,,,,,http://bit.ly/1gCdMRT
