No.,Financier,Project country,Project name,Unit,Types,Capacity (MW),Status,Boiler Type,Known co-financier,Recipeint Domestic Company,Recipeint Foreign Company,Loan,Underwriting,Bond Insurance,Shareholdings,Unidentified Investment,Total Investment of whole projects,Information disclosed,Reference,Remarks,,,Consolidated,,Financed Project,Total
1,,Australia,N/A,,coal,200,operating,,,"Mitsui Co, IHI",,382.41,,,,,382.41,"March 29, 2007",http://www.mitsui.com/jp/ja/release/2007/1206216_6490.html,EPC,,,Cambodia,Morupule B Phase II ,Morupule B Phase II ,1
2,JICA,Bangladesh,Matarbari,Units 1-2,coal,1200,,USC,,,,775,,,,,775,"June 16, 2014",https://www.jica.go.jp/press/2014/20140616_01.html,,,,,,,
3,JICA,Bosnia and Herzegovina,Ugljevik,,coal,300,,,,MHPS,,,,,,,0,"July 21, 2016",http://www.mhps.com/news/20160721.html,FGD,,,,,,
4,,Botswana,Morupule B Phase II,,coal,300,pre,SUB,,Marubeni,,,,,,,0,"December 2, 2015",http://www.posco.com/homepage/docs/eng5/jsp/prcenter/news/s91c1010025v.jsp?idx=2449&onPage=6,Planning,,,,,,
4,JBIC,Botswana,Morupule B Phase II ,Unit 5-6,coal,300,,SUB,,,,,,,,,0,,http://www.jbic.go.jp/en/efforts/environment/projects/project,,,,,,,
5,,Cambodia,Sihanoukville,,coal,100,Operating,SUB,,Marubeni,,,,,,,0,"June 2, 2014","http://www.marubeni.co.jp/news/2014/release/00046.html
http://www.sourcewatch.org/index.php/Sihanoukville_CEL_power_station",Investment,,,,,,
6,,Canada,Keephills ,Unit 3,coal,,Operating,SC,,Hitachi,,424.9,,,,,424.9,"March 12, 2007",http://www.hitachi.co.jp/New/cnews/month/2007/03/0312.html,"Boiler, Turbine, Generator",,,,,,
7,JBIC,Chile,Cochrane,,coal,472,,SUB,,Mitsubishi Corp,,,,,,,0,"November 30, 2012",http://www.mitsubishicorp.com/jp/ja/pr/archive/2012/html/0000017804.html,Investment,,,,,,
7,JBIC,Chile,Cochrane,Units 2-3,coal,572,,SUB,,,,500,,,,,500,"March 28, 2013","https://www.jbic.go.jp/ja/information/press/press-2012/0328-6230
http://nexi.go.jp/topics/newsrelease/004734.html",,,,,,,
7,NEXI,Chile,Cochrane,Units 2-3,coal,572,,SUB,,,,,250,,,,250,"March 28, 2013","https://www.jbic.go.jp/ja/information/press/press-2012/0328-6230
http://nexi.go.jp/topics/newsrelease/004734.html",,,,,,,
8,,Chile,Huasco ,Unit 4,coal,152,Construction,SUB,,"MHI, Mitsubishi Electric, Mitsubishi Corp",,,,,,,0,"November 19, 2007","https://www.mhi.co.jp/news/story/200711194648.html
http://www.sourcewatch.org/index.php/Huasco_power_station",EPC,,,,,,
8,,Chile,Huasco ,Unit 5,coal,154,Construction,SUB,,"MHI, Mitsubishi Electric",,,,,,,0,"November 27, 2012","https://www.mhi.co.jp/news/story/1211275285.html
http://www.sourcewatch.org/index.php/Huasco_power_station",Generator,,,,,,
9,,China,Hezhou,,coal,"2,000",Operating,USC,,"J-Power, Mitsui Co, DBJ",,,,,,,0,"December 21, 2011","http://www.jpower.co.jp/news_release/news111221.html
http://www.sourcewatch.org/index.php/Huasco_power_station",Investment,,,,,,
10,,China,Xinchang,,coal,"1,320",pre,USC,,J-Power,,,,,,,0,"March 19, 2008",http://www.jpower.co.jp/news_release/news080319-2.html,Investment,,,,,,
11,,China,Zouxian,,coal,"2,000",Operating,USC,,"Hitachi, Itochu",,92.56,,,,,92.56,"July 2, 2004",http://www.hitachi.co.jp/New/cnews/month/2004/07/0702a.html,"Boiler, Turbine, Generator",,,,,,
12,,Egypt,Matruh,,coal,,pre,USC,,Marubeni,,,,,,,0,"March 2, 2016",http://www.marubeni.co.jp/news/2016/release/00013.html,Planning,,,,,,
13,,Germany,Brunsbüttel/Wilhelmshaven,,coal,800,Cancelled,,,Hitachi,,849.8,,,,,849.8,"May 24, 2007","http://www.hitachi.co.jp/New/cnews/month/2007/05/0524c.html
http://www.sourcewatch.org/index.php/Brunsb%C3%BCttel_Power_Station_%28GDF_Suez%29
http://www.sourcewatch.org/index.php/Wilhelmshaven_Power_Station",EPC,,,,,,
14,,Germany,Stade,,coal,800,Cancelled,,,Hitachi,,849.8,,,,,849.8,"May 24, 2007","http://www.hitachi.co.jp/New/cnews/month/2007/05/0524c.html
http://www.sourcewatch.org/index.php/Stade_Power_Station",EPC,,,,,,
15,,Greece,Ptolemais,,coal,660,pre,USC,,Hitachi,,,,,,,0,"April 9, 2013","http://www.hitachi.co.jp/New/cnews/month/2013/04/0409a.html
http://www.sourcewatch.org/index.php/Ptolemaida_Power_Station","Boiler, Turbine, Generator",,,,,,
16,JICA,India,Bakreswar,Units 1-2,coal,420,,SUB,,,,306,,,,,306,"March 31, 2003",https://www.jica.go.jp/press/archives/jbic/autocontents/japanese/news/2003/000041/appendix.html,,,,,,,
17,JBIC,India,Barh I,Units 3-4,coal,"1,980",,SC,,,,380,,,,,380,"December 20, 2007",https://www.jbic.go.jp/ja/information/press/press-2007/1220-6065,,,,,,,
18,JBIC,India,Barh II ,Unit 1-2,coal,"1,320",Construction,SC,,MHI,,,,,,,0,"May 18, 2010","http://www.mhi.co.jp/news/story/1005184942.html
http://www.sourcewatch.org/index.php/Barh_II_power_station",Pump,,,,,,
19,,India,Chhabra ,Unit 5-6,coal,"1,320",Construction,SC,,MHI,,,,,,,0,"July 30, 2013","https://www.mhi.co.jp/news/story/1307305400.html
http://www.sourcewatch.org/index.php/Chhabra_Thermal_Power_Station","Boiler, Turbine",,,,,,
20,NEXI,India,Darlipali,Unit 1-2,coal,"1,600",Construction,SC,,Toshiba,,,,,,,0,"February 24, 2014","http://www.jbic.go.jp/en/efforts/environment/projects/project
http://www.toshiba.co.jp/about/press/2014_02/pr_j2401.htm",EPC,,,,,,
20,JBIC,India,Darlipali ,Unit 1-2,coal,"1,600",Construction,SC,,Toshiba,,,,,,,0,"February 24, 2014","http://www.jbic.go.jp/en/efforts/environment/projects/project
http://www.toshiba.co.jp/about/press/2014_02/pr_j2401.htm",EPC,,,,,,
21,JBIC,India,Jaypee Nigrie,Units 1-2,coal,"1,320",,SC,,,,110,,,,,110,"April 1, 2011",https://www.jbic.go.jp/ja/information/press/press-2011/0401-6075,,,,,,,
22,,India,Karchana,,coal,"1,320",Operating,SC,,MHI,,,,,,,0,"February 2, 2011","https://www.mhi.co.jp/news/story/1102025028.html
http://www.sourcewatch.org/index.php/Karchana_Thermal_Power_Project","Boiler, Turbine",,,,,,
23,,India,Krishnapatnam,,coal,"1,600",Operating,SC,,MHI,,,,,,,0,"February 13, 2009",https://www.mhi.co.jp/news/story/200902134796.html,Turbine,,,,,,
24,JBIC,India,Kudgi,Unit 1-2,coal,2400,,SC,,,,210,,,,,210,"January 27, 2014","https://www.jbic.go.jp/ja/information/press/press-2013/0127-17494
http://nexi.go.jp/topics/newsrelease/005079.html",,,,,,,
24,NEXI,India,Kudgi,Unit 1-2,coal,2400,,SC,,,,,140,,,,140,"January 27, 2014","https://www.jbic.go.jp/ja/information/press/press-2013/0127-17494
http://nexi.go.jp/topics/newsrelease/005079.html",,,,,,,
24,JBIC,India,Kudgi ,Unit 1-3,coal,"2,400",Construction,SC,,Toshiba,,626.65,,,,,626.65,"February 20, 2012","http://www.toshiba.co.jp/about/press/2012_02/pr_j2002.htm
http://www.sourcewatch.org/index.php/Kudgi_Super_Thermal_Power_Project","Turbine, Generator",,,,,,
25,,India,Lara,,coal,"1,600",Construction,SC,,Hitachi,,,,,,,0,"January 23, 2013","http://www.hitachi.co.jp/New/cnews/month/2013/01/0123.html
http://www.sourcewatch.org/index.php/Lara_Integrated_Thermal_Power_Project","Turbine, Generator",,,,,,
26,JBIC,India,Meja,,coal,"1,320",Construction,SC,,Toshiba,,375.99,,,,,375.99,"May 9, 2012","http://www.toshiba.co.jp/about/press/2012_05/pr_j0901.htm
http://www.sourcewatch.org/index.php/Meja_Thermal_Power_Project","Turbine, Generator",,,,,,
26,JBIC,India,Meja,Unit 1-2,coal,1320,,SC,,,,90,,,,,90,"September 2, 2014","https://www.jbic.go.jp/ja/information/press/press-2014/0902-28841
http://nexi.go.jp/topics/newsrelease/005256.html",,,,,,,
26,NEXI,India,Meja,Unit 1-2,coal,1320,,SC,,,,,852,,,,852,"September 2, 2014","https://www.jbic.go.jp/ja/information/press/press-2014/0902-28841
http://nexi.go.jp/topics/newsrelease/005256.html",,,,,,,
27,IFC (JP),India,Mundra,,coal,"4,000",Operating,SC,,Toshiba,,,,,,,0,"August 10, 2007","http://www.toshiba.co.jp/about/press/2007_08/pr_j1001.htm
http://www.sourcewatch.org/index.php/Tata_Mundra_Ultra_Mega_Power_Project","Turbine, Generator",,,,,,
27,ADB (JP),India,Mundra,,coal,"4,000",Operating,SC,,Toshiba,,,,,,,0,"August 10, 2007","http://www.toshiba.co.jp/about/press/2007_08/pr_j1001.htm
http://www.sourcewatch.org/index.php/Tata_Mundra_Ultra_Mega_Power_Project","Turbine, Generator",,,,,,
28,JBIC,India,Nigrie,,coal,"1,320",Operating,SC,,MHI,,,,,,,0,"January 12, 2010","https://www.mhi.co.jp/news/story/1001124891.html
http://www.sourcewatch.org/index.php/Jaypee_Nigrie_Super_Thermal_Power_Project","Turbine, Generator",,,,,,
29,JICA,India,North Karanpura,,coal,"1,980",,SC,,,,148,,,,,148,"March 31, 2005",https://www.jica.go.jp/press/archives/jbic/autocontents/japanese/news/2005/000041/index.html,,,,,,,
30,JBIC,India,Rajpura,Unit 3-4,coal,"1,400",,SC,,,,81,,,,,81,"December 28, 2011","https://www.jbic.go.jp/ja/information/press/press-2011/1228-6073
http://nexi.go.jp/topics/newsrelease/004178.html",,,,,,,
30,NEXI,India,Rajpura,Unit 3-4,coal,"1,400",,SC,,,,,128,,,,128,"December 28, 2011","https://www.jbic.go.jp/ja/information/press/press-2011/1228-6073
http://nexi.go.jp/topics/newsrelease/004178.html",,,,,,,
31,JBIC,India,Rajpura Nabha,,coal,"1,400",Operating,SC,,MHI,,,,,,,0,"February 2, 2011","https://www.mhi.co.jp/news/story/1102025028.html
http://www.sourcewatch.org/index.php/Rajpura_Thermal_Power_Project","Boiler, Turbine",,,,,,
32,,India,Saraya 2,,coal,"1,320",Operating,SC,,Toshiba,,,,,,,0,"January 12, 2011",http://www.toshiba.co.jp/about/press/2011_01/pr_j1201.htm,"Turbine, Generator",,,,,,
33,,India,Shree Singaji,,coal,"1,320",Construction,SC,,MHPS,,,,,,,0,"March 9, 2015","http://www.mhps.com/news/20150309.html
http://www.sourcewatch.org/index.php/Shree_Singaji_Thermal_Power_Project","Boiler, Turbine",,,,,,
34,JICA,India,Simhadri,,coal,1000,,SUB,,,,47,,,,,47,"March 31, 2003",https://www.jica.go.jp/press/archives/jbic/autocontents/japanese/news/2003/000041/appendix.html,,,,,,,
35,,India,Solapur,,coal,"1,320",Construction,SC,,Hitachi,,,,,,,0,"April 9, 2012","http://www.hitachi.co.jp/New/cnews/month/2012/04/0409.html
http://www.sourcewatch.org/index.php/Solapur_power_station",Boiler,,,,,,
36,"NEXI Consideration, JBIC",India,Tanda ,Unit 5-6,coal,"1,320",Construction,SC,,MHPS,,,,,,,0,"March 4, 2015","http://www.mhps.com/news/20150304.html
http://www.jbic.go.jp/en/efforts/environment/projects/project",Boiler,,,,,,
,,Indonesia,Batan,,coal,"2,000",Operating,USC,,"Itochu, J-Power",,5015.6,,,,,5015.6,"October 7, 2011",http://www.itochu.co.jp/ja/news/2011/111007.html,Investment,,,,,,
38,JBIC,Indonesia,Batang (Central Java),,coal,2000,,USC,,,,2052,,,,,2052,"June 3, 2016",http://www.jbic.go.jp/ja/information/press/press-2016/0603-48594,,,,,,,
39,,Indonesia,Cirebon,,coal,660,Operating,SC,,Marubeni,,,,,,,0,"March 8, 2010","http://www.marubeni.co.jp/dbps_data/news/2010/100308.html
http://www.sourcewatch.org/index.php/Cirebon_power_station",Investment,,,,,,
39,JBIC,Indonesia,Cirebon,Unit 1,coal,660,,SC,,,,216,,,,,216,"March 8, 2010","https://www.jbic.go.jp/ja/information/press/press-2009/0308-6025
http://nexi.go.jp/topics/newsrelease/005173.html",,,,,,,
39,NEXI,Indonesia,Cirebon,Unit 1,coal,660,,SC,,,,,not availble,,,,0,"March 8, 2010","https://www.jbic.go.jp/ja/information/press/press-2009/0308-6025
http://nexi.go.jp/topics/newsrelease/005173.html",,,,,,,
39,,Indonesia,Cirebon ,Expansion,coal,"1,000",Operating,USC,,"Marubeni, Chubu EP, Toshiba, MHPS",,,,,,,0,"October 23, 2015","http://www.marubeni.co.jp/news/2015/release/20151023a.pdf
http://www.toshiba.co.jp/about/press/2015_11/pr_j2401.htm",Investment/EPC,,,,,,
39,NEXI,Indonesia,Cirebon ,Unit 2,coal,"1,000",,USC,,,,,,,,,0,,http://www.nexi.go.jp/environment/info/information02/index.html,,,,,,,
39,JBIC,Indonesia,Cirebon ,Unit 2,coal,"1,000",,USC,,,,,,,,,0,,http://www.nexi.go.jp/environment/info/information02/index.html,,,,,,,
40,JICA,Indonesia,Indramayu ,Unit 4-5,coal,"2,000",,USC,,,,,,,,,0,,http://www.jica.go.jp/english/our_work/social_environmental/id/asia/southeast/category_a_b_fi.html,,,,,,,
41,JBIC,Indonesia,Lontar (Banten),,coal,315,Construction,USC,,"Sumitomo Corp, Toshiba, IHI",,413.15,,,,,413.15,"September 24, 2015",http://www.sumitomocorp.co.jp/news/detail/id=28906,EPC,,,,,,
41,JBIC,Indonesia,Lontar (Banten),Unit 1-2,coal,315,,USC,,,,194,,,,,194,"March 16, 2016","http://www.jbic.go.jp/ja/information/press/press-2015/0316-47125
http://nexi.go.jp/topics/newsrelease/2016030802.html",,,,,,,
41,NEXI,Indonesia,Lontar (Banten),Unit 1-2,coal,315,,USC,,,,,127,,,,127,"March 16, 2016","http://www.jbic.go.jp/ja/information/press/press-2015/0316-47125
http://nexi.go.jp/topics/newsrelease/2016030802.html",,,,,,,
42,,Indonesia,Paiton 2,,coal,"1,220",Operating,SUB,,Marubeni,,,,,,,0,"August 17, 2011","http://www.marubeni.co.jp/dbps_data/news/2011/110817c.html
http://globalenergyobservatory.org/form.php?pid=41521",Investment,,,,,,
43,,Indonesia,Paiton I,,coal,"1,230",Operating,SUB,,"Mitsui Co, TEPCO",,,,,,,0,"June 29, 2005",http://www.tepco.co.jp/cc/press/05062902-j.html,Investment,,,,,,
44,,Indonesia,Paiton III,,coal,815,Operating,SUB,,"Mitsui Co, TEPCO",,,,,,,0,"August 4, 2008","http://www.mitsui.com/jp/ja/release/2008/1206138_6491.html
http://www.tepco.co.jp/cc/press/10030801-j.html
http://www.sourcewatch.org/index.php/Paiton-3_power_station",Investment,,,,,,
44,JBIC,Indonesia,Paiton III,Unit 1,coal,825,,SC,,,,1215,,,,,1215,"March 8, 2010","https://www.jbic.go.jp/ja/information/press/press-2009/0308-6026
http://nexi.go.jp/topics/newsrelease/004661.html",,,,,,,
44,NEXI,Indonesia,Paiton III,Unit 1,coal,825,,SC,,,,,not available,,,,0,"March 8, 2010","https://www.jbic.go.jp/ja/information/press/press-2009/0308-6026
http://nexi.go.jp/topics/newsrelease/004661.html",,,,,,,
45,,Indonesia,Quynh Lap 1,,coal,"1,200",pre,,,Marubeni,,,,,,,0,"February 24, 2011","http://www.marubeni.co.jp/dbps_data/news/2011/110224.html
http://www.sourcewatch.org/index.php/Quynh_Lap_power_station",Planning,,,,,,
46,,Indonesia,Sura-Laya ,Unit 1-2,coal,,operating,,,Marubeni,,,,,,,0,"March 6, 2008",http://www.marubeni.co.jp/dbps_data/news/2008/080307.html,Boiler,,,,,,
47,JBIC,Indonesia,Tanjung Jati B,Unit 1-2,coal,"1,320",,SUB,,,,721,,,,,721,"July 31, 2003",http://nexi.go.jp/topics/newsrelease/001326.html,,,,,,,
47,NEXI,Indonesia,Tanjung Jati B,Unit 1-2,coal,"1,320",,SUB,,,,,481,,,,481,"July 31, 2003",http://nexi.go.jp/topics/newsrelease/001326.html,,,,,,,
47,JBIC,Indonesia,Tanjung Jati B,Unit 1,coal,"1,320",,SUB,,,,1753,,,,,1753,"December 30, 2008","https://www.jbic.go.jp/ja/information/press/press-2008/1230-6028
http://nexi.go.jp/topics/newsrelease/001497.html",,,,,,,
47,NEXI,Indonesia,Tanjung Jati B,Unit 1,coal,"1,320",,SUB,,,,,not availble,,,,0,"December 30, 2008","https://www.jbic.go.jp/ja/information/press/press-2008/1230-6028
http://nexi.go.jp/topics/newsrelease/001497.html",,,,,,,
47,,Indonesia,Tanjung Jati B ,Unit 3-4,coal,"1,320",Operating,SUB,,Sumitomo Corp,,,,,,,0,"January 5, 2009","http://www.sumitomocorp.co.jp/news/detail/id=26310
http://www.sourcewatch.org/index.php/Tanjung_Jati_B_power_station",Investment,,,,,,
47,,Indonesia,Tanjung Jati B ,Unit 3-4,coal,"1,320",Operating,,,"Sumitomo Corp, Toshiba, MES, MHI",,,,,,,0,"February 7, 2012",http://www.sumitomocorp.co.jp/news/detail/id=25675,Investment/EPC,,,,,,
47,,Indonesia,Tanjung Jati B ,Unit 5-6,coal,"2,000",pre,USC,,"Sumitomo Corp, Kansai EP",,,,,,,0,"December 21, 2015",http://www.sumitomocorp.co.jp/news/detail/id=29092,Investment,,,,,,
47,NEXI,Indonesia,Tanjung Jati B ,Unit 5-6,coal,"2,000",,USC,,,,,,,,,0,,http://www.nexi.go.jp/environment/info/information02/index.html,,,,,,,
47,JBIC,Indonesia,Tanjung Jati B ,Unit 5-6,coal,"2,000",,USC,,,,,,,,,0,,http://www.nexi.go.jp/environment/info/information02/index.html,,,,,,,
48,JICA,Indonesia,Tarahan ,Unit 3-4,coal,200,,,,Marubeni,,212.888,,,,,212.888,"July 26, 2004",http://www.marubeni.co.jp/dbps_data/news/2004/040726.html,"Boiler, Turbine, Generator",,,,,,
49,JBIC consideration,Malaysia,Track 3B (Jimah),,coal,"2,000",pre:I,USC,,"Mitsui Co, Chubu EP, Toshiba",,,,,,,0,"January 20, 2016","http://www.mitsui.com/jp/ja/release/2016/1217086_8913.html
http://www3.toshiba.co.jp/power/whatsnew/topics/20140902/index_j.htm",Investment/EPC,,,,,,
50,JBIC,Malaysia ,Jimah East (Project 3B) ,Unit 1-2,coal,"2,000",,USC,,,,,,,,,0,,http://www.jbic.go.jp/en/efforts/environment/projects/project,,,,,,,
51,JBIC,Mexico,Pacifico,,coal,700,Operating,SC,,MHI,,,,,,,0,"February 7, 2006",https://www.mhi.co.jp/news/sec1/200602074433.html,EPC,,,,,,
51,JBIC,Mexico,Pacifico (Petacalco),Unit 1-2,coal,648,,SC,,,,273,,,,,273,"March 23, 2010","https://www.jbic.go.jp/ja/information/press/press-2009/0323-6441
http://nexi.go.jp/topics/newsrelease/001419.html",,,,,,,
51,NEXI,Mexico,Pacifico (Petacalco),Unit 1-2,coal,648,,SC,,,,,not available,,,,0,"March 23, 2010","https://www.jbic.go.jp/ja/information/press/press-2009/0323-6441
http://nexi.go.jp/topics/newsrelease/001419.html",,,,,,,
52,,Mexico,Río Escondido ,Unit 1-4,coal,"1,320",operating,,,MHPS,,217.879,,,,,217.879,"December 3, 2014",https://www.mhps.com/news/20141203.html,Rehabilitation,,,,,,
53,NEXI Consideration,Mongolia,Ulaanbaatar CHP5,,coal,450,pre:I,,,Sojitz,,,,,,,0,"July 6, 2012","http://www.sojitz.com/jp/news/2012/07/201207062.php
http://www.sourcewatch.org/index.php/Ulaanbaatar_Thermal_Power_Plant_No._5",Negotiation,,,,,,
53,,Mongolia,Ulaanbaatar CHP5 ,Unit 1,coal,450,,SUB (CHP),,,,,,,,,0,,http://www.nexi.go.jp/en/environment/information/index.html,,,,,,,
54,JBIC,Morocco,Jorf Lasfar,,coal,700,Operating,SUB,,"Mitsui Co, MHI, IHI",,1253.9,,,,,1253.9,"May 10, 2011","http://www.mitsui.com/jp/ja/release/2011/1205855_6494.html
http://www.sourcewatch.org/index.php/Jorf_Lasfar_power_station",EPC,,,,,,
54,JBIC,Morocco,Jorf Lasfar,Unit 1-2,coal,700,,SUB,,,,216,,,,,216,"June 21, 2012","https://www.jbic.go.jp/ja/information/press/press-2012/0621-6444
http://nexi.go.jp/topics/newsrelease/004420.html",,,,,,,
54,NEXI,Morocco,Jorf Lasfar,Unit 1-2,coal,700,,SUB,,,,,146,,,,146,"June 21, 2012","https://www.jbic.go.jp/ja/information/press/press-2012/0621-6444
http://nexi.go.jp/topics/newsrelease/004420.html",,,,,,,
55,JBIC,Morocco,Safi,,coal,"1,386",construction,USC,,"Mitsui Co, MHPS",,,,,,,0,"September 19, 2014","http://www.mitsui.com/jp/ja/release/2014/1205623_6497.html
http://www.mhps.com/news/20140919.html
http://www.sourcewatch.org/index.php/Safi_power_station",Investment/SCR,,,,,,
55,JBIC,Morocco,Safi,Unit 3,coal,1386,,USC,,,,908,,,,,908,"September 19, 2014","https://www.jbic.go.jp/ja/information/press/press-2014/0919-29148
http://nexi.go.jp/topics/newsrelease/005476.html",,,,,,,
55,NEXI,Morocco,Safi,Unit 3,coal,1386,,USC,,,,,473,,,,473,"September 19, 2014","https://www.jbic.go.jp/ja/information/press/press-2014/0919-29148
http://nexi.go.jp/topics/newsrelease/005476.html",,,,,,,
56,,Myanmar,Tanintharyi,,coal,"2,000",pre,USC,,Marubeni,,,,,,,0,"October 10, 2014","http://www.marubeni.co.jp/news/2014/release/20141010_jpn.pdf
http://www.sourcewatch.org/index.php/Tanintharyi_power_station",Planning,,,,,,
57,,Netherlands,Maasvlakte,,coal,800,contruction,USC,,Hitachi,,849.8,,,,,849.8,"May 24, 2007","http://www.hitachi.co.jp/New/cnews/month/2007/05/0524c.html
http://www.sourcewatch.org/index.php/Maasvlakte_Power_Station_%28Engie%29",EPC,,,,,,
58,,Philippines,Limay,,coal,300,contruction,,,MHPS,,,,,,,0,"October 30, 2014","http://www.mhps.com/news/20141030.html
http://www.sourcewatch.org/index.php/Limay_power_station","Turbine, Generator",,,,,,
59,,Philippines,Mindanao,,coal,110,operating,,,"Mitsubishi Corp, Toshiba",,284.19,,,,,284.19,"January 31, 2014",http://www.mitsubishicorp.com/jp/ja/pr/archive/2014/html/0000023491.html,EPC,,,,,,
59,,Philippines,Mindanao,,coal,105,,,,"Sojitz, KHI",,172.96,,,,,172.96,"December 2, 2003",http://www.sojitz.com/jp/news/2003/12/20031202-2.php,EPC,,,,,,
59,JBIC,Philippines,Mindanao (STEAG),Unit 1-2,coal,232,,SUB,,,,91,,,,,91,"December 2, 2003",http://nexi.go.jp/topics/newsrelease/001329.html,,,,,,,
59,NEXI,Philippines,Mindanao (STEAG),Unit 1-2,coal,232,,SUB,,,,,40,,,,40,"December 2, 2003",http://nexi.go.jp/topics/newsrelease/001329.html,,,,,,,
60,,Philippines,Pagbilao ,Unit 3,coal,420,construction,SC,,"Marubeni, TEPCO, MHPS",,,,,,,0,"September 28, 2011","http://www.marubeni.co.jp/dbps_data/news/2011/110928a.html
http://www.mhps.com/news/20140602.html
http://www.tepco.co.jp/personnel/special/increase_02.html#box04
http://www.sourcewatch.org/index.php/Pagbilao_power_station",Investment/EPC,,,,,,
61,,Philippines,Sual ,Expansion,coal,600,Cancelled,,,"Marubeni, TEPCO",,,,,,,0,"September 28, 2011","http://www.marubeni.co.jp/dbps_data/news/2011/110928a.html
http://www.sourcewatch.org/index.php/Sual_power_station",Investment,,,,,,
62,,Philippines,Subic,,coal,600,pre,CFB,,Marubeni,,,,,,,0,"September 28, 2011","http://www.marubeni.co.jp/dbps_data/news/2011/110928a.html
http://www.sourcewatch.org/index.php/Subic_power_station",Investment,,,,,,
63,,Poland,Kozienice ,"Unit 1,2,7,8",coal,860,Operating,,,Hitachi,,,,,,,0,"March 6, 2013",http://www.hitachi.co.jp/New/cnews/month/2013/03/0306.html,FGD,,,,,,
63,,Poland,Kozienice,Unit 1-2,coal,400,Operating,SUB,,MHPS,,,,,,,0,"September 19, 2014","http://www.mhps.com/news/20140919.html
http://www.sourcewatch.org/index.php/Kozienice_Power_Plant",SCR,,,,,,
