107,Types,Project Name,Unit,Longitude,Latitude,Established Year,Status,Capacity (MW),Domestic owner name,Foreign owner name,Mother Company of owner,Project Cost,Total investment amount,Total amount from domestic sources,Total amount from foreign sources,Money not identifiable,"Domestic owner's contribution, Share (%)","Domestic owner's contribution, Amount","Foreign owner's contribution, Share (%)","Foreign owner's contribution, Amount",Total Identified amount of domestic finance,Total Identified amount of foreign finance,CO2 Carbon Emission,Lifetime of plant (yr),Real Cost of Coal,Project Impact,References,Remarks
Aichi Refinery power station,Coal,Aichi Refinery power station,Aichi Refinery 4,136.913508,35.180189,1986,Operating,40,Idemitsu Kosan Co Ltd,,,,0,,,,,,,,,,,,,,http://bit.ly/1V48AJ5,
Hekinan power station,Coal,Hekinan power station,Hekinan power station Unit 1,136.9593356,34.834612,1991,Operating,700,Chubu Electric Power Co Inc,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYwLuB,
,Coal,Hekinan power station,Hekinan power station Unit 2,136.9593356,34.834612,1992,Operating,700,Chubu Electric Power Co Inc,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYwLuB,
,Coal,Hekinan power station,Hekinan power station Unit 3,136.9593356,34.834612,1993,Operating,700,Chubu Electric Power Co Inc,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYwLuB,
,Coal,Hekinan power station,Hekinan power station Unit 4,136.9593356,34.834612,2001,Operating,1000,Chubu Electric Power Co Inc,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYwLuB,
,Coal,Hekinan power station,Hekinan power station Unit 5,136.9593356,34.834612,2002,Operating,1000,Chubu Electric Power Co Inc,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYwLuB,
Itoigawa power station,Coal,Itoigawa power station,Itoigawa power station Unit 1,137.791039,37.015262,2005,Operating,149,Summit Myojo Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYC1yk,
Meinan Kyodo Energy power station,Coal,Meinan Kyodo Energy power station,Meinan Kyodo Energy power station,136.916667,34.85,2018,pre,31,"Meiko Trans, Seika Corporation, Japan Energy Partners",,,,0,,,,,,,,,,,,,,http://bit.ly/1RWFCqJ,
Nagoya power station,Coal,Nagoya power station,"Nagoya power station Unit 1
(Nakayama Nagoya power station)",136.926917,34.843989,2000,Operating,149,Osaka Gas Co Ltd,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYzGmV,
,Coal,Nagoya power station,"Nagoya power station Unit 2
(Nakayama Nagoya power station 2)",136.916667,34.85,2017,Construction,110,Nakayama Nagoya,,,,0,,,,,,,,,,,,,,http://bit.ly/1tFRyaf,
Nagoya Tokai power station,Coal,Nagoya Tokai power station,Nagoya Tokai power station Unit 1,136.865863,35.027313,1990,Operating,149,Tokai Kyodo Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYxyM7,
Nanao-Ohta Shinko power station,Coal,Nanao-Ohta Shinko power station,"Nanao-Ohta Shinko power station Unit 1
(Nanao-Ohta power station)",137.003701,37.066393,1995,Operating,500,Hokuriku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYB5dm,
,Coal,Nanao-Ohta Shinko power station,"Nanao-Ohta Shinko power station Unit 2
(Nanao-Ohta power station)",137.003701,37.066393,1998,Operating,700,Hokuriku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYB5dm,
Suzukawa Energy Center,Coal,Suzukawa Energy Center,"Suzukawa Energy Center
(Fuji Mill Suzukawa, Nippon Paper Fuji power station)",138.68333,35.16667,2016,Operating,100,"Nippon Paper, Chubu Electric Power, Mitsubishi Corporation ",,,,0,,,,,,,,,,,,,,http://bit.ly/1ojPDk4,
Taketoyo power station,Coal,Taketoyo power station,"Taketoyo power station Unit 5
(Taketoyo No.5)",136.961667,34.845,2022,pre,1070,Chubu Electric Power Co Inc,,,,0,,,,,,,,,,,,,,http://bit.ly/1MBi9wf,
Toyama Shinko power station,Coal,Toyama Shinko power station,Toyama Shinko power station Unit 1,137.128677,36.76566,1971,Operating,250,Hokuriku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1t77Qup,
,Coal,Toyama Shinko power station,Toyama Shinko power station Unit 2,137.128677,36.76566,1972,Operating,250,Hokuriku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1t77Qup,
Tsuruga power station,Coal,Tsuruga power station,"Tsuruga power station Unit 1
(Tsuruga Hokuriku power station)",136.082365,35.672485,1991,Operating,500,Hokuriku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1YdzwtC,
,Coal,Tsuruga power station,"Tsuruga power station Unit 2
(Tsuruga Hokuriku power station)",136.082365,35.672485,2000,Operating,700,Hokuriku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1YdzwtC,
Chogoku Air Water Yamaguchi co-fire power station,Coal,Chogoku Air Water Yamaguchi co-fire power station,"Chogoku Air Water Yamaguchi co-fire power station
(Air Water & Energia Power Yamaguchi / Hofu city)",131.566667,34.05,2018,pre,112,"Chogoku Electric Power, Air Water Inc.",,,,0,,,,,,,,,,,,,,http://bit.ly/1t2GlxE,
Fukuyama Works power station,Coal,Fukuyama Works power station,Fukuyama Works power station Unit 1,133.441571,34.478865,1966,Operating,35,JFE Steel Corp,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYEoBf,
,Coal,Fukuyama Works power station,Fukuyama Works power station Unit 3,133.441571,34.478865,1989,Operating,33,JFE Steel Corp,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYEoBf,
,Coal,Fukuyama Works power station,Fukuyama Works power station Unit 4,133.441571,34.478865,1997,Operating,30,JFE Steel Corp,,,,0,,,,,,,,,,,,,,http://bit.ly/1gYEoBf,
Kaita power station,Coal,Kaita power station,"Kaita power station
(Kaita biomass blending, Hiroshima Gas plant)",132.533333,34.366667,2019,pre,112,"Chugoku Electric Power Co, Hiroshima Gas",,,,0,,,,,,,,,,,,,,http://bit.ly/1CAOKtP,
Misumi power station,Coal,Misumi power station,Misumi power station Unit 1,131.921768,34.780789,1998,Operating,1000,Chugoku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1IAqPkf,
,Coal,Misumi power station,"Misumi power station Unit 2
(Misumi No.2)",131.9215,34.7797,2022,pre,1000,Chugoku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1lIUvR2,
Mizushima Energy Center,Coal,Mizushima Energy Center,"Mizushima Energy Center
(Mizushima Energy Center)",133.766667,34.583333,2017,Construction,110,"Kansai Electric Power, Mitsubishi Corporation",,,,0,,,,,,,,,,,,,,http://bit.ly/1czM8GT,
Mizushima power station,Coal,Mizushima power station,Mizushima power station Unit 2,133.7445,34.507803,1963,Operating,156,Chugoku Electric Power Co,,,,0,,,,,,,,,,,,,,http://bit.ly/1IAqDl8,
Nanyo Complex power station,Coal,Nanyo Complex power station,Nanyo Complex power station Unit 3,131.757956,34.055538,1982,Operating,116,Tosoh Corp,,,,0,,,,,,,,,,,,,,http://bit.ly/1IArEd1,
,Coal,Nanyo Complex power station,Nanyo Complex power station Unit 4,131.757956,34.055538,1989,Operating,145,Tosoh Corp,,,,0,,,,,,,,,,,,,,http://bit.ly/1IArEd1,
,Coal,Nanyo Complex power station,Nanyo Complex power station Unit 5,131.757956,34.055538,2008,Operating,220,Tosoh Corp,,,,0,,,,,,,,,,,,,,http://bit.ly/1IArEd1,
