No,Project Name,Financed by domestic or foriegn financiers,Financier's countries,Financier's name,Financier's parent company,Investing Amount/ Share,Reference
1,Aichi Refinery power station,domestic,Japan,Idemitsu Kosan Co Ltd,Idemitsu Kosan ,,http://bit.ly/1V48AJ5
2,Hekinan power station,domestic,Japan,Chubu Electric Power Co Inc,Chubu Electric Power,,http://bit.ly/1gYwLuB
3,Hekinan power station,domestic,Japan,Chubu Electric Power Co Inc,Chubu Electric Power,,http://bit.ly/1gYwLuB
4,Hekinan power station,domestic,Japan,Chubu Electric Power Co Inc,Chubu Electric Power,,http://bit.ly/1gYwLuB
5,Hekinan power station,domestic,Japan,Chubu Electric Power Co Inc,Chubu Electric Power,,http://bit.ly/1gYwLuB
6,Hekinan power station,domestic,Japan,Chubu Electric Power Co Inc,Chubu Electric Power,,http://bit.ly/1gYwLuB
7,Itoigawa power station,domestic,Japan,Summit Myojo Power Co,"Sumitomo Corporation, Myojo Cement",,http://bit.ly/1gYC1yk
8,Meinan Kyodo Energy power station,domestic,Japan,"Meiko Trans (49.75%), Seika Corporation (49.75%), Japan Energy Partners (0.5%)","Meiko Trans (49.75%), Seika Corporation (49.75%), Japan Energy Partners (0.5%)",,http://bit.ly/1RWFCqJ
9,Nagoya power station,domestic,Japan,Osaka Gas Co Ltd,Osaka Gas,,http://bit.ly/1gYzGmV
10,Nagoya power station,domestic,Japan,Nakayama Nagoya,Osaka Gas,,http://bit.ly/1tFRyaf
11,Nagoya Tokai power station,domestic,Japan,Tokai Kyodo Electric Power Co,Tokai Kyodo Electric Power,,http://bit.ly/1gYxyM7
12,Nanao-Ohta Shinko power station,domestic,Japan,Hokuriku Electric Power Co,Hokuriku Electric Power Company,,http://bit.ly/1gYB5dm
13,Nanao-Ohta Shinko power station,domestic,Japan,Hokuriku Electric Power Co,Hokuriku Electric Power Company,,http://bit.ly/1gYB5dm
14,Suzukawa Energy Center,domestic,Japan,"Nippon Paper, Chubu Electric Power, Mitsubishi Corporation ","Nippon Paper, Chubu Electric Power, Mitsubishi Corporation ",,http://bit.ly/1ojPDk4
15,Taketoyo power station,domestic,Japan,Chubu Electric Power Co Inc,Chubu Electric Power,,http://bit.ly/1MBi9wf
16,Toyama Shinko power station,domestic,Japan,Hokuriku Electric Power Co,Hokuriku Electric Power Company,,http://bit.ly/1t77Qup
17,Toyama Shinko power station,domestic,Japan,Hokuriku Electric Power Co,Hokuriku Electric Power Company,,http://bit.ly/1t77Qup
18,Tsuruga power station,domestic,Japan,Hokuriku Electric Power Co,Hokuriku Electric Power Company,,http://bit.ly/1YdzwtC
19,Tsuruga power station,domestic,Japan,Hokuriku Electric Power Co,Hokuriku Electric Power Company,,http://bit.ly/1YdzwtC
20,Chogoku Air Water Yamaguchi co-fire power station,domestic,Japan,"Chogoku Electric Power, Air Water Inc.",Chugoku Electric Power,,http://bit.ly/1t2GlxE
21,Fukuyama Works power station,domestic,Japan,JFE Steel Corp,JFE Holdings,,http://bit.ly/1gYEoBf
22,Fukuyama Works power station,domestic,Japan,JFE Steel Corp,JFE Holdings,,http://bit.ly/1gYEoBf
23,Fukuyama Works power station,domestic,Japan,JFE Steel Corp,JFE Holdings,,http://bit.ly/1gYEoBf
24,Kaita power station,domestic,Japan,"Chugoku Electric Power Co, Hiroshima Gas","Chugoku Electric Power, Hiroshima Gas",,http://bit.ly/1CAOKtP
25,Misumi power station,domestic,Japan,Chugoku Electric Power Co,Chugoku Electric Power,,http://bit.ly/1IAqPkf
26,Misumi power station,domestic,Japan,Chugoku Electric Power Co,Chugoku Electric Power,,http://bit.ly/1lIUvR2
27,Mizushima Energy Center,domestic,Japan,"Kansai Electric Power, Mitsubishi Corporation","Kansai Electric Power, Mitsubishi Corporation",,http://bit.ly/1czM8GT
28,Mizushima power station,domestic,Japan,Chugoku Electric Power Co,Chugoku Electric Power,,http://bit.ly/1IAqDl8
29,Nanyo Complex power station,domestic,Japan,Tosoh Corp,Tosoh,,http://bit.ly/1IArEd1
30,Nanyo Complex power station,domestic,Japan,Tosoh Corp,Tosoh,,http://bit.ly/1IArEd1
31,Nanyo Complex power station,domestic,Japan,Tosoh Corp,Tosoh,,http://bit.ly/1IArEd1
32,Osaki CoolGen Project,domestic,Japan,Osaki CoolGen Corp.,Osaki CoolGen Corp.,,http://bit.ly/1LAsqYA
33,Osaki power station,domestic,Japan,Chugoku Electric Power Co,Chugoku Electric Power,,http://bit.ly/1gYFaya
34,Shin Onoda power station,domestic,Japan,Chugoku Electric Power Co,Chugoku Electric Power,,http://bit.ly/1UDXISQ
35,Shin Onoda power station,domestic,Japan,Chugoku Electric Power Co,Chugoku Electric Power,,http://bit.ly/1UDXISQ
36,Shin Tokuyama power station,domestic,Japan,Tokuyama Corp,Tokuyama,,http://bit.ly/1IWXL3p
37,Takehara power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1hpLBTp
38,Takehara power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1gYFAo7
39,Takehara power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1gYFAo7
40,Takehara power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1gYFAo7
41,Ube power station,domestic,Japan,"J-Power, Ube Industries, Osaka Gas","J-POWER, Ube Industries, Osaka Gas",,http://bit.ly/1rxMyh0
42,Ube power station,domestic,Japan,"J-Power, Ube Industries, Osaka Gas","J-POWER, Ube Industries, Osaka Gas",,http://bit.ly/1rxMyh0
43,Miike Mine power station,domestic,Japan,Mitsui Mining & Smelting Co,Mitsui ,,http://bit.ly/1QWnoZa
44,Mikawa power station,domestic,Japan,Sigma Power Ariake Kk,Toshiba ,,http://bit.ly/1V4yyMl
45,Omuta Works power station,domestic,Japan,Mitsui Chemicals Inc,Mitsui ,,http://bit.ly/1osOD4c
46,Omuta Works power station,domestic,Japan,Mitsui Chemicals Inc,Mitsui ,,http://bit.ly/1osOD4c
47,Wakamatsu Repower power station,domestic,Japan,J-Power,J-POWER,,http://bit.ly/20WhCvj
48,Summit Onahama power station,domestic,Japan,Summit Onahama S Power Corp,Sumitomo Corporation,,http://bit.ly/1JLqJdM
49,Otake Plant power station,domestic,Japan,Mitsubishi Rayon Co Ltd,Mitsubishi Corporation,,http://bit.ly/1nZEVpi
50,Kushiro Mill Npi power station,domestic,Japan,Nippon Paper Industries Co Ltd,Nippon Paper ,,http://bit.ly/1TSIGcG
51,Kushiro power station,domestic,Japan,IDI Infrastructures F-Power,IDI Infrastructures F-Power,,http://bit.ly/1PDpawe
52,Shiraoi Mill power station,domestic,Japan,Nippon Paper Industries Co Ltd,Nippon Paper ,,http://bit.ly/1T8wQut
53,Naie power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/1IWZPbM
54,Naie power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/1IWZPbM
55,NSC Muroran Works power station,domestic,Japan,Nippon Steel & Sumitomo Metal,Nippon Steel & Sumitomo Metal,,http://bit.ly/1IWYW35
56,NSC Muroran Works power station,domestic,Japan,Nippon Steel & Sumitomo Metal,Nippon Steel & Sumitomo Metal,,http://bit.ly/1IWYW35
57,Shin Ebetsu power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/1IX0tWF
58,Shin Ebetsu power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/1IX0tWF
59,Sunagawa Daini power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/1IX3iad
60,Sunagawa Daini power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/1IX3iad
61,Tomakomai Mill power station,domestic,Japan,Oji Paper Co Ltd,Oji Group,,http://bit.ly/1IX69jC
62,Tomakomai Mill power station,domestic,Japan,Oji Paper Co Ltd,Oji Group,,http://bit.ly/1IX69jC
63,Tomato-atsuma power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/24xGbP6
64,Tomato-atsuma power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/24xGbP6
65,Tomato-atsuma power station,domestic,Japan,Hokkaido Electric Power Co Inc,Hokkaido Electric Power,,http://bit.ly/24xGbP6
66,Akita power station,domestic,Japan,"Kansai Electric Power, Marubeni ","Kansai Electric Power, Marubeni ",,http://bit.ly/1HSSZWp
67,Akita power station,domestic,Japan,"Kansai Electric Power, Marubeni ","Kansai Electric Power, Marubeni ",,http://bit.ly/1HSSZWp
68,Nippon Paper Akita power station,domestic,Japan,Nippon Paper ,Nippon Paper ,,http://bit.ly/1wDItMF
69,Noshiro power station,domestic,Japan,Tohoku Electric Power Co,Tohoku Electric Power,,http://bit.ly/1lIUGvE
70,Nadahama Works power station,domestic,Japan,Kobe Steel Ltd,Kobe Steel,,http://bit.ly/20piZR0
71,Nadahama Works power station,domestic,Japan,Kobe Steel Ltd,Kobe Steel,,http://bit.ly/20piZR0
72,Nadahama Works power station,domestic,Japan,Kobe Steel Ltd,Kobe Steel,,http://bit.ly/20piZR0
73,Ako Cement Plant power station,domestic,Japan,Sumitomo Osaka Cement Co Ltd,Sumitomo Corporation,,http://bit.ly/1IX8lHT
74,Ako power station,domestic,Japan,Kansai Electric Power Co,Kansai Electric Power,,http://bit.ly/1z3morG
75,Ako power station,domestic,Japan,Kansai Electric Power Co,Kansai Electric Power,,http://bit.ly/1z3morG
76,Hirohata Works power station,domestic,Japan,Nippon Steel & Sumitomo Metal,Nippon Steel & Sumitomo Metal,,http://bit.ly/1IX8PNY
77,Hirohata Works power station,domestic,Japan,Nippon Steel & Sumitomo Metal,Nippon Steel & Sumitomo Metal,,http://bit.ly/1IX8PNY
78,Kobe Works power station,domestic,Japan,Kobe Steel,Kobe Steel,,http://bit.ly/ZYPuwE
79,Kobe Works power station,domestic,Japan,Kobe Steel,Kobe Steel,,http://bit.ly/ZYPuwE
80,Maizuru power station,domestic,Japan,Kansai Electric Power Co,Kansai Electric Power,,http://bit.ly/201j7b7
81,Maizuru power station,domestic,Japan,Kansai Electric Power Co,Kansai Electric Power,,http://bit.ly/201j7b7
82,Shinko Kobe power station,domestic,Japan,Shinko Kobe Power Inc,Kobe Steel,,http://bit.ly/1IX9m2o
83,Shinko Kobe power station,domestic,Japan,Shinko Kobe Power Inc,Kobe Steel,,http://bit.ly/1IX9m2o
84,Takasago power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1t7EUxX
85,Takasago power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1t7EUxX
86,Takasago power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1t7EUxX
87,Takasago power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1t7EUxX
88,Yokkaichi power station,domestic,Japan,Mitsubishi Chemical,Mitsubishi Corporation,,http://bit.ly/1RMwM1q
89,Chiba power station,domestic,Japan,Chiba Sodegaura Energy,"Kyushu Electric Power, Idemitsu Kosan Company, Tokyo Gas",,http://bit.ly/ZYMBMc
90,Chiba power station,domestic,Japan,Chiba Sodegaura Energy,"Kyushu Electric Power, Idemitsu Kosan, Tokyo Gas",,http://bit.ly/ZYMBMc
91,Hitachinaka Kyodo power station,domestic,Japan,Hitachinaka Generation Company,"TEPCO, Chubu Electric Power",,http://bit.ly/1PakmME
92,Hitachinaka power station,domestic,Japan,Tokyo Electric Power Co,TEPCO,,http://bit.ly/1hpJnn3
93,Hitachinaka power station,domestic,Japan,Tokyo Electric Power Company,TEPCO,,http://bit.ly/1hpJnn3
94,Ichihara power station,domestic,Japan,"Kansai Electric Power, Tonen General Sekiyu","Kansai Electric Power, Tonen General Sekiyu",,http://bit.ly/1Il2DVt
95,Isogo power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1IXeZ0N
96,Isogo power station,domestic,Japan,J-POWER,J-POWER,,http://bit.ly/1IXeZ0N
97,JFE Steel power station,domestic,Japan,"Chugoku Electric Power, JFE Steel Corporation, Tokyo Gas","Chugoku Electric Power, JFE Holdings, Tokyo Gas",,http://bit.ly/1CrT2o5
