33,Types,Project Name,Unit,longitude,latitude,Established Year,Status,Capacity (MW),Domestic owner name,Foreign owner name,Mother Company of owner,Project Cost,Total investment amount,Total amount from domestic sources,Total amount from foreign sources,Money not identifiable,"Domestic owner's contribution, Share (%)","Domestic owner's contribution, Amount","Foreign owner's contribution, Share (%)","Foreign owner's contribution, Amount",Total amount of domestic finance,Total Identified amount of foreign finance,CO2 Carbon Emission,Lifetime of plant (yr),Real Cost of Coal,Project Impact,References,Remarks,
Boryeong power station,coal,Boryeong power station,Boryeong power station Unit 1,126.4908314,36.4008531,1983,Operating,500,Korea Midland Power,n/a,KEPCO,,392,260,276,,66,260,34,276,,,,,,,http://bit.ly/2ibIS8i,http://newslibrary.naver.com/viewer/index.nhn?articleId=1984062700099207014&editNo=1&printCount=1&publishDate=1984-06-27&officeId=00009&pageNo=7&printNo=5635&publishType=00020,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631
,coal,Boryeong power station,Boryeong power station Unit 2,126.4908314,36.4008531,1984,Operating,500,Korea Midland Power,n/a,KEPCO,,392,260,276,,66,260,34,276,,,,,,,http://bit.ly/2ibIS8i,http://newslibrary.naver.com/viewer/index.nhn?articleId=1984062700099207014&editNo=1&printCount=1&publishDate=1984-06-27&officeId=00009&pageNo=7&printNo=5635&publishType=00020,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631
,coal,Boryeong power station,Boryeong power station Unit 3,126.4908314,36.4008531,1993,Operating,500,Korea Midland Power,n/a,KEPCO,,1436,1436,0,,100,1436,0,0,,,,,,,http://bit.ly/2ibIS8i,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300099110017&editNo=15&printCount=1&publishDate=1994-06-23&officeId=00009&pageNo=10&printNo=8793&publishType=00010,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300289106009&editNo=5&printCount=1&publishDate=1994-06-23&officeId=00028&pageNo=6&printNo=1933&publishType=00010
,coal,Boryeong power station,Boryeong power station Unit 4,126.4908314,36.4008531,1993,Operating,500,Korea Midland Power,n/a,KEPCO,,1436,1436,0,,100,1436,0,0,,,,,,,http://bit.ly/2ibIS8i,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300099110017&editNo=15&printCount=1&publishDate=1994-06-23&officeId=00009&pageNo=10&printNo=8793&publishType=00010,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300289106009&editNo=5&printCount=1&publishDate=1994-06-23&officeId=00028&pageNo=6&printNo=1933&publishType=00010
,coal,Boryeong power station,Boryeong power station Unit 5,126.4908314,36.4008531,1993,Operating,500,Korea Midland Power,n/a,KEPCO,,1436,1436,0,,100,1436,0,0,,,,,,,http://bit.ly/2ibIS8i,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300099110017&editNo=15&printCount=1&publishDate=1994-06-23&officeId=00009&pageNo=10&printNo=8793&publishType=00010,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300289106009&editNo=5&printCount=1&publishDate=1994-06-23&officeId=00028&pageNo=6&printNo=1933&publishType=00010
,coal,Boryeong power station,Boryeong power station Unit 6,126.4908314,36.4008531,1994,Operating,500,Korea Midland Power,n/a,KEPCO,,1436,1436,0,,100,1436,0,0,,,,,,,http://bit.ly/2ibIS8i,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300099110017&editNo=15&printCount=1&publishDate=1994-06-23&officeId=00009&pageNo=10&printNo=8793&publishType=00010,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300289106009&editNo=5&printCount=1&publishDate=1994-06-23&officeId=00028&pageNo=6&printNo=1933&publishType=00010
,coal,Boryeong power station,Boryeong power station Unit 7,126.4908314,36.4008531,2008,Operating,500,Korea Midland Power,n/a,KEPCO,,1436,1436,0,,100,1436,0,0,,,,,,,http://bit.ly/2ibIS8i,http://todayenergy.kr/news/articleView.html?idxno=47367,http://www.epj.co.kr/news/articleView.html?idxno=2608
,coal,Boryeong power station,Boryeong power station Unit 8,126.4908314,36.4008531,2008,Operating,500,Korea Midland Power,n/a,KEPCO,,1436,1436,0,,100,1436,0,0,,,,,,,http://bit.ly/2ibIS8i,http://todayenergy.kr/news/articleView.html?idxno=47367,http://www.epj.co.kr/news/articleView.html?idxno=2608
Dangjin power station,coal,Dangjin power station,Dangjin power station Unit 1,126.5122247,37.05513,1999,Operating,500,Korea East-West Power Co,n/a,KEPCO,,1470,1470,0,,100,1470,0,0,,,,,,,http://bit.ly/1DRx4RU,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0000016224,
,coal,Dangjin power station,Dangjin power station Unit 2,126.5122247,37.05513,1999,Operating,500,Korea East-West Power Co,n/a,KEPCO,,1470,1470,0,,100,1470,0,0,,,,,,,http://bit.ly/1DRx4RU,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0000016224,
,coal,Dangjin power station,Dangjin power station Unit 3,126.5122247,37.05513,2000,Operating,500,Korea East-West Power Co,n/a,KEPCO,,1037,1037,0,,100,1037,0,0,,,,,,,http://bit.ly/1DRx4RU,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0000078461,
,coal,Dangjin power station,Dangjin power station Unit 4,126.5122247,37.05513,2001,Operating,500,Korea East-West Power Co,n/a,KEPCO,,1037,1037,0,,100,1037,0,0,,,,,,,http://bit.ly/1DRx4RU,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0000078461,
,coal,Dangjin power station,Dangjin power station Unit 5,126.5122247,37.05513,2005,Operating,500,Korea East-West Power Co,n/a,KEPCO,,961,961,0,,100,961,0,0,,,,,,,http://bit.ly/1DRx4RU,http://www.gnetimes.co.kr/news/articleView.html?idxno=6012,
,coal,Dangjin power station,Dangjin power station Unit 6,126.5122247,37.05513,2006,Operating,500,Korea East-West Power Co,n/a,KEPCO,,961,961,0,,100,961,0,0,,,,,,,http://bit.ly/1DRx4RU,http://www.gnetimes.co.kr/news/articleView.html?idxno=6012,
,coal,Dangjin power station,Dangjin power station Unit 7,126.5122247,37.05513,2007,Operating,500,Korea East-West Power Co,n/a,KEPCO,,971,971,0,,100,971,0,0,,,,,,,http://bit.ly/1DRx4RU,http://www.todayenergy.kr/news/articleView.html?idxno=37716,
,coal,Dangjin power station,Dangjin power station Unit 8,126.5122247,37.05513,2007,Operating,500,Korea East-West Power Co,n/a,KEPCO,,971,971,0,,100,971,0,0,,,,,,,http://bit.ly/1DRx4RU,http://www.todayenergy.kr/news/articleView.html?idxno=37716,
Seocheon power station,coal,Seocheon power station,Seocheon power station Unit 1,126.49611,36.13576052,1983,Operating,200,Korea Midland Power,,KEPCO,,181,,,181,,,,,,,,,,,http://bit.ly/1hAzfzr,,
,coal,Seocheon power station,Seocheon power station Unit 2,126.49611,36.13576052,1983,Operating,200,Korea Midland Power,,KEPCO,,181,,,181,,,,,,,,,,,http://bit.ly/1hAzfzr,,
Shin Boryeong power station,coal,Shin Boryeong power station,Shin Boryeong power station Unit 1,126.486169,36.3846129,2017,Construction,1000,Korea Midland Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1eAxQRO,,
,coal,Shin Boryeong power station,Shin Boryeong power station Unit 2,126.486169,36.3846129,2017,Construction,1000,Korea Midland Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1eAxQRO,,
Taean power station,coal,Taean power station,Taean IGCC Project,126.2346268,36.9055681,2016,Operating,300,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1f719A8,,
,coal,Taean power station,Taean power station Unit 1,126.234263,36.903319,1995,Operating,500,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1J99eBE,,
,coal,Taean power station,Taean power station Unit 10,126.2346268,36.9055681,2017,Construction,1050,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1f719A8,,
,coal,Taean power station,Taean power station Unit 2,126.234263,36.903319,1996,Operating,500,Korea Western Power,,KEPCO,,0,,,,,,,,,,,,,,http://bit.ly/1J99eBE,,
