No,Project Name,Unit,Sources,Financier's countries,Financier's name,Total Investing Amount,Loan,Underwriting,Bond Insurance,Shareholdings,Unidentified investment types,Information disclosed date,Reference,Remarks
1,Boryeong power station,,Foreign,Japan,Toshiba co.,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
1,Boryeong power station,,Foreign,USA,B＆W,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
1,Boryeong power station,,Domestic,South Korea,kepco,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
1,Boryeong power station,,Domestic,South Korea,korea Heavy Industries & Construction.,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
1,Boryeong power station,,Domestic,South Korea,DaewooHeavy Industries & Construction,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
1,Boryeong power station,,Domestic,South Korea,[Daelim Industrial Co.,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
2,Boryeong power station,,Foreign,Japan,Toshiba co.,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
2,Boryeong power station,,Foreign,USA,B＆W,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
2,Boryeong power station,,Domestic,South Korea,kepco,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
2,Boryeong power station,,Domestic,South Korea,korea Heavy Industries & Construction.,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
2,Boryeong power station,,Domestic,South Korea,DaewooHeavy Industries & Construction,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
2,Boryeong power station,,Domestic,South Korea,[Daelim Industrial Co.,0,,,,,,,http://terms.naver.com/entry.nhn?docId=576557&cid=46631&categoryId=46631,
3,Boryeong power station,,Domestic,South Korea,korea Heavy Industries & Construction.,0,,,,,,,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300099110017&editNo=15&printCount=1&publishDate=1994-06-23&officeId=00009&pageNo=10&printNo=8793&publishType=00010,
4,Boryeong power station,,Domestic,South Korea,korea Heavy Industries & Construction.,0,,,,,,,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300099110017&editNo=15&printCount=1&publishDate=1994-06-23&officeId=00009&pageNo=10&printNo=8793&publishType=00010,
5,Boryeong power station,,Domestic,South Korea,korea Heavy Industries & Construction.,0,,,,,,,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300289106009&editNo=5&printCount=1&publishDate=1994-06-23&officeId=00028&pageNo=6&printNo=1933&publishType=00010,
6,Boryeong power station,,Domestic,South Korea,korea Heavy Industries & Construction.,0,,,,,,,http://newslibrary.naver.com/viewer/index.nhn?articleId=1994062300289106009&editNo=5&printCount=1&publishDate=1994-06-23&officeId=00028&pageNo=6&printNo=1933&publishType=00010,
7,Boryeong power station,,Domestic,South Korea,KOPEC,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
7,Boryeong power station,,Domestic,South Korea,doosan Heavy Industries & Construction,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
7,Boryeong power station,,Domestic,South Korea,Daelim Industrial Co.,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
7,Boryeong power station,,Domestic,South Korea,(DaewooHeavy Industries & Construction,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
7,Boryeong power station,,Domestic,South Korea,kc-cottrell,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
8,Boryeong power station,,Domestic,South Korea,KOPEC,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
8,Boryeong power station,,Domestic,South Korea,doosan Heavy Industries & Construction,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
8,Boryeong power station,,Domestic,South Korea,Daelim Industrial Co.,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
8,Boryeong power station,,Domestic,South Korea,(DaewooHeavy Industries & Construction,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
8,Boryeong power station,,Domestic,South Korea,kc-cottrell,0,,,,,,,http://todayenergy.kr/news/articleView.html?idxno=47367,
9,Dangjin power station,,Domestic,South Korea,KOPEC,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0000016224,
9,Dangjin power station,,Domestic,South Korea,korea Heavy Industries & Construction,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0000016224,
9,Dangjin power station,,Domestic,South Korea,Dongah Construction Industrial Co,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0000016224,
10,Dangjin power station,,Domestic,South Korea,KOPEC,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0000016224,
10,Dangjin power station,,Domestic,South Korea,korea Heavy Industries & Construction,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0000016224,
10,Dangjin power station,,Domestic,South Korea,Dongah Construction Industrial Co,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0000016224,
11,Dangjin power station,,Domestic,South Korea,KOPEC,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0000078461,
11,Dangjin power station,,Domestic,South Korea,doosan Heavy Industries & Construction,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0000078461,
11,Dangjin power station,,Domestic,South Korea,Samsung C&T Corporation,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0000078461,
11,Dangjin power station,,Domestic,South Korea,Dongah Construction Industrial Co,0,,,,,,,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0000078461,
