86,Types,Project Name,Unit,Longitude,Latitude,Established Year,Status,Capacity (MW),Domestic owner name,Foreign owner name,Mother Company of owner,Project Cost,Total investment amount,Total amount from domestic sources,Total amount from foreign sources,Money not identifiable,"Domestic owner's contribution, Share (%)","Domestic owner's contribution, Amount","Foreign owner's contribution, Share (%)","Foreign owner's contribution, Amount",Total Identified amount of foreign finance,Total Identified amount of domestic finance,CO2 Carbon Emission,Lifetime of plant (yr),Real Cost of Coal,Project Impact,References,Remarks
An Khanh - Bac Giang power station,Coal,An Khanh - Bac Giang power station,An Khanh - Bac Giang power station Unit 1,106.35375,21.23238,2022,construction,325,An Khanh Electricity JSC,,,,200,0,0,0,n/a,0,0%,0,0,0,,,,,,
,Coal,An Khanh - Bac Giang power station,An Khanh - Bac Giang power station Unit 2,106.35375,21.23238,2023,construction,325,An Khanh Electricity JSC,,,,200,0,0,0,n/a,0,0%,0,0,0,,,,,,
An Khanh power station 1,Coal,An Khanh power station 1,An Khanh-1 Unit 1,105.766609,21.596912,2015,operating,50,An Khanh Electricity JSC,,,,215,72,143,0,n/a,47,0%,0,143,50,,,,,http://pecc1.com.vn/San-xuat-kinh-doanh_81/Prepared-for-1st-unit-generation-An-Khanh-1-Thermal-Power-Plant_1045.aspx http://vietnamnews.vn/economy/219017/an-khanh-signs-143m-loan-deal.html#Aes1KZ5CtILeAUYA.97 http://china.aiddata.org/projects/35270,
,Coal,An Khanh power station 1,An Khanh-1 Unit 2,105.766609,21.596912,2015,operating,50,An Khanh Electricity JSC,,,,215,72,143,0,n/a,47,0%,0,143,50,,,,,http://pecc1.com.vn/San-xuat-kinh-doanh_81/Prepared-for-1st-unit-generation-An-Khanh-1-Thermal-Power-Plant_1045.aspx http://vietnamnews.vn/economy/219017/an-khanh-signs-143m-loan-deal.html#Aes1KZ5CtILeAUYA.97 http://china.aiddata.org/projects/35270,
An Khanh power station 2,Coal,An Khanh power station 2,An Khanh-2 Unit 1,105.766609,21.596912,,cancelled,150,,,,,,,,,,,,,,,,,,,,
,Coal,An Khanh power station 2,An Khanh-2 Unit 2,105.766609,21.596912,,cancelled,150,,,,,,,,,,,,,,,,,,,,
Bac Lieu 1,Coal,Bac Lieu 1,,,,,pre: A,"1,200",,,,,"2,400",0,0,0,n/a,0,0%,0,0,0,,,,,,New to endcoal's 2017 data.
Binh Dinh power station 1,Coal,Binh Dinh power station 1,Binh Dinh 1,109.205,14.079,2029,cancelled,1200,,,,,,,,,,,,,,,,,,,,
Binh Dinh power station 2,Coal,Binh Dinh power station 2,Binh Dinh 2,109.205,14.079,2029,cancelled,"2,000",,,,,,,,,,,,,,,,,,,,
Cam Pha power station 1,Coal,Cam Pha power station 1,Cam Pha power station Phase I,107.358044,21.006288,2011,operating,340,Vinacomin,,,,349,0,225,124,n/a,0,0%,0,225,0,,,,,"http://china.aiddata.org/projects/34676
 http://archive.is/PIXD9",
