No.,Project Name,Unit,Sources,Financier's countries,Financier's name,Total Investing Amount,Loan,Underwriting,Bond Insurance,Shareholdings,Unidentified investment types,Information disclosed date,Reference,Remarks
1,An Khanh I,,foreign,China,China Bank of Communication,35.75,,,,,35.75,,,
1,An Khanh I,,foreign,China,China Development Bank,35.75,,,,,35.75,,,
1,An Khanh I,,foreign,China,Industrial and Commercial Bank of China,35.75,,,,,35.75,,http://pecc1.com.vn/San-xuat-kinh-doanh_81/Prepared-for-1st-unit-generation-An-Khanh-1-Thermal-Power-Plant_1045.aspx http://vietnamnews.vn/economy/219017/an-khanh-signs-143m-loan-deal.html#Aes1KZ5CtILeAUYA.97 http://china.aiddata.org/projects/35270,
1,An Khanh I,,foreign,Japan,Japan Bank for International Cooperation,35.75,,,,,35.75,,,
1,An Khanh I,,domestic,Vietnam,Bank for Investment and Development of Vietnam,25,,,,,25,,,
1,An Khanh I,,domestic,Vietnam,Vietnam Development Bank,25,,,,,25,,,
2,Cam Pha I,,foreign,China,Industrial and Commercial Bank of China,225,,,,,225,,"http://china.aiddata.org/projects/34676
 http://archive.is/PIXD9",
3,Cam Pha II,,domestic,Vietnam,Bank for Investment and Development of Vietnam,23,,,,,23,,"http://www.baoquangninh.com.vn/quang-ninh-24-7/kinh-te/200712/Khoi-cong-xay-dung-nha-may-nhiet-dien-Cam-Pha-giai-doan-ii-cong-suat-300MW-2104195/
 http://hanoimoi.com.vn/Tin-tuc/Kinh-te/217943/maritime-bank-cho-vay-23-tri7879;u-usd-273;7889;i-v7899;i-nha-may-nhi7879;t-273;i7879;n-c7849;m-ph7843;-2",
4,Cao Ngan,,foreign,China,Industrial and Commercial Bank of China,85.5,,,,,85.5,,http://china.aiddata.org/projects/34328 http://evnhanoi.vn/content/6802-Nha-may-nhiet-dien-Cao-Ngan-hoa-luoi-dien-quoc-gia.aspx,
5,Duyen Hai I,,foreign,China,Industrial and Commercial Bank of China,1360,,,,,1360,,"https://www.talkvietnam.org/2015/04/chinese-investment-present-in-all-important-sectors-of-vn-economy/
 http://vietnamnews.vn/Economy/198191/International-banks-finance-dam-project.html#2sfE8raRxQA7V1GD.97",
6,Duyen Hai III,,foreign,China,China Construction Bank ,408.33,,,,,408.33,,,
6,Duyen Hai III,,foreign,China,Bank of China,408.33,,,,,408.33,,,
6,Duyen Hai III,,foreign,Japan,Japan Bank for International Cooperation,408.33,,,,,408.33,,,
6,Duyen Hai III,,domestic,Vietnam,Bank for Investment and Development of Vietnam,275,,,,,275,,,
6,Duyen Hai III,,domestic,Vietnam,Vietcombank,275,,,,,275,,,
6,Duyen Hai III,Extension,foreign,Japan,Japan International Cooperation Agency,409,,,,,409,,"https://www.vietnambreakingnews.com/2014/12/work-starts-on-duyen-hai-3-thermal-power-plant/
 http://in.reuters.com/article/vietnam-banks-thermal-idINL4N0XI17M20150421
 http://www.pp.u-tokyo.ac.jp/wp-content/uploads/2016/03/GraSPP-DP-E-14-003-SOM.pdf
 https://www.vietinbank.vn/web/home/vn/news/15/04/3000-ty-tai-tro-du-an-nha-may-nhiet-dien-duyen-hai-3-mo-rong.html?p=1",
6,Duyen Hai III,Extension,domestic,Vietnam,Bank for Investment and Development of Vietnam,208,,,,,208,,,
6,Duyen Hai III,Extension,domestic,Vietnam,Vietnam Development Bank,34.73,,,,,34.73,,,
6,Duyen Hai III,Extension,domestic,Vietnam,Vietcombank,30,,,,,30,,,
6,Duyen Hai III,Extension,domestic,Vietnam,Maritime Bank,25,,,,,25,,,
7,Hai Duong,,foreign,China,Industrial and Commercial Bank of China,467.13,,,,,467.13,,http://www.thesundaily.my/news/1560918 http://baophapluat.vn/chinh-sach/hai-duong-khoi-cong-du-an-nhiet-dien-gan-2-ty-usd-267563.html,
7,Hai Duong,,foreign,China,China Construction Bank,467.13,,,,,467.13,,,
7,Hai Duong,,foreign,China,China Bank of Communication,467.13,,,,,467.13,,,
8,Hai Phong I,,foreign,Japan,Japan International Cooperation Agency,22,,,,,22,,"http://vietnamnews.vn/economy/144787/hai-phong-to-receivecoal-fired-power-plant.html
 http://www.epu.edu.vn/Default.aspx?BT=4443
 http://vietnamnews.vn/economy/148398/japan-lends-funds-for-hai-phong-power-plant.html
 http://www.jica.go.jp/english/news/jbic_archive/autocontents/english/news/2005/000080/index.html
 http://www.vietcombank.com.vn/News/Vcb_News.aspx?ID=3122
 https://www.shs.com.vn/News/201075/687501/vib-tai-tro-100-ty-dong-cho-nhiet-dien-hai-phong.aspx",
8,Hai Phong I,,foreign,Japan,Societe Generale (Tokyo Branch),22,,,,,22,,,
8,Hai Phong I,,foreign,Japan,Bank of Tokyo-Mitsubishi UFJ (BTMU),22,,,,,22,,,
8,Hai Phong I,,domestic,Vietnam,Vietnam Development Bank,30,,,,,30,,,
8,Hai Phong I,,domestic,Vietnam,Vietcombank,30,,,,,30,,,
8,Hai Phong I,,domestic,Vietnam,Bank for Investment and Development of Vietnam,131,,,,,131,,,
8,Hai Phong I,,domestic,Vietnam,Maritime Bank,25,,,,,25,,,
8,Hai Phong I,,domestic,Vietnam,LienVietPostBank,5.2,,,,,5.2,,,
8,Hai Phong I,,domestic,Vietnam,BaoViet Insurance,25.3,,,,,25.3,,,
9,Hai Phong II,,foreign,Japan,Japan International Cooperation Agency,38,,,,,38,,,
9,Hai Phong II,,foreign,Japan,Societe Generale (Tokyo Branch),12.5,,,,,12.5,,,
9,Hai Phong II,,foreign,Japan,Bank of Tokyo-Mitsubishi UFJ (BTMU),12.5,,,,,12.5,,,
10,Mao Khe,,foreign,Japan,Japan Bank for International Cooperation,137.5,,,,,137.5,,,
11,Mong Duong I,,foreign,France,Euler Hermes,137.5,,,,,137.5,,,
11,Mong Duong I,,foreign,Japan,Japan Bank for International Cooperation,137.5,,,,,137.5,,,
11,Mong Duong I,,domestic,Vietnam,Bank for Investment and Development of Vietnam,56,,,,,56,,,
11,Mong Duong I,,domestic,Vietnam,Viettinbank,56,,,,,56,,,
12,Mong Duong II,,foreign,China,Eximbank,510,,,,,510,,"Talk Vietnam
 http://oda.mpi.gov.vn/tabid/223/articletype/ArticleView/articleId/247/default.aspx",
12,Mong Duong II,,foreign,Multilateral,Asian Development Bank,930.71,,,,,930.71,,,
13,Nghi Son I,,foreign,Japan,Citibank Japan,1020,,,,,1020,,,
14,Pha Lai II,,foreign,Japan,Japan International Cooperation Agency,324.47,,,,,324.47,,"http://www.lilama10.com/cong-trinh-du-an/cong-trinh-da-hoan-thanh/mot-so-hinh-anh-ve-nha-may-nhiet-dien-pha-lai-ii.html
 http://vietstock.vn/PrintView.aspx?ArticleID=82151",
15,Quang Ninh I,,foreign,China,Industrial and Commercial Bank of China,415.24,,,,,415.24,,http://www.tienphong.vn/Kinh-Te/khoi-cong-xay-dung-nha-may-nhiet-dien-quang-ninh-42704.tpo http://vietstock.vn/PrintView.aspx?ArticleID=23268,
16,Thai Binh I,,foreign,Japan,Citibank Japan,1079.5,,,,,1079.5,,http://thanglongtce.vn/en/the-commencement-of-127-billions-thai-binh-thermal-power-plant/,
17,Thai Binh II,,foreign,China,Bank of China,27.89,,,,,27.89,,,
17,Thai Binh II,,foreign,China,Eximbank,330,,,,,330,,,
17,Thai Binh II,,foreign,England,HSBC,27.89,,,,,27.89,,,
17,Thai Binh II,,foreign,France,BNP Paribas,46.56,,,,,46.56,,,
17,Thai Binh II,,foreign,Japan,Societe Generale (Tokyo Branch),46.56,,,,,46.56,,,
17,Thai Binh II,,foreign,Japan,Mizuho Corporate Bank,46.56,,,,,46.56,,,
17,Thai Binh II,,foreign,Japan,Japan International Cooperation Agency,85,,,,,85,,,
17,Thai Binh II,,foreign,Singapore,OCBC,27.89,,,,,27.89,,,
17,Thai Binh II,,domestic,Vietnam,Agribank,22.12,,,,,22.12,,,
17,Thai Binh II,,domestic,Vietnam,VN Eximbank,270,,,,,270,,,
17,Thai Binh II,,domestic,Vietnam,Bank for Investment and Development of Vietnam,292,,,,,292,,,
