tracker_id,country,plant,unit,combustion_technology,coal_type,emission_factor,capacity_mw,Status,Established date (yr),year_spread,retired,planned_retire,latitude,longitude,efficiency,capacity_factor,emissions_yr_mt,lifetime,lifetime_spread,emissions_lifetime_mt
G107151,Vietnam,Na Duong power station,Na Duong-1 power station Unit 1,SUBCR,LIG,101000,50,operating,2004,0,,,21.698111,106.975852,0.382504459,0.64,8449574.711,46,14,388680436.7
G107152,Vietnam,Na Duong power station,Na Duong-1 power station Unit 2,SUBCR,LIG,101000,50,operating,2004,0,,,21.698111,106.975852,0.382504459,0.64,8449574.711,46,14,388680436.7
G100084,Japan,Aichi Refinery power station,Aichi Refinery 4,SUBCR,SUB,96100,40,operating,1986,0,,,35.180189,136.913508,0.392130806,0.64,6273824.86,46,14,288595943.6
G106803,Japan,Meinan Kyodo Energy power station,Meinan Kyodo Energy power station,SUBCR,SUB,96100,31,permitted,2018,0,,,34.85,136.916667,0.392130806,0.64,4862214.267,46,14,223661856.3
G107185,Japan,Nagoya power station,Nagoya power station Unit 1,SUBCR,SUB,96100,149,operating,2000,0,,,34.843989,136.926917,0.392130806,0.64,23369997.61,46,14,1075019890
G107186,Japan,Nagoya power station,Nagoya power station Unit 2,SUBCR,SUB,96100,110,construction,2017,0,,,34.85,136.916667,0.392130806,0.64,17253018.37,46,14,793638844.8
G107187,Japan,Nagoya Tokai power station,Nagoya Tokai power station Unit 1,SUBCR,SUB,96100,149,operating,1990,0,,,35.027313,136.865863,0.392130806,0.64,23369997.61,46,14,1075019890
G109766,Japan,Suzukawa Energy Center,Suzukawa Energy Center,SUBCR,SUB,96100,112,operating,2016,0,,,35.16667,138.68333,0.392130806,0.64,17566709.61,46,14,808068642
G109873,Japan,Taketoyo power station,Taketoyo power station Unit 5,ULTRA,SUB,96100,1070,pre,2022,0,,,34.845,136.961667,0.412514782,0.64,159531931.7,46,14,7338468859
G101518,Japan,Chogoku Air Water Yamaguchi co-fire power station,Chogoku Air Water Yamaguchi co-fire power station,SUBCR,SUB,96100,112,pre,2018,0,,,34.05,131.566667,0.392130806,0.64,17566709.61,46,14,808068642
G102827,Japan,Fukuyama Works power station,Fukuyama Works power station Unit 1,SUBCR,SUB,96100,35,operating,1966,0,,,34.478865,133.441571,0.392130806,0.64,5489596.753,46,14,252521450.6
G102828,Japan,Fukuyama Works power station,Fukuyama Works power station Unit 3,SUBCR,SUB,96100,33,operating,1989,0,,,34.478865,133.441571,0.392130806,0.64,5175905.51,46,14,238091653.5
G102829,Japan,Fukuyama Works power station,Fukuyama Works power station Unit 4,SUBCR,SUB,96100,30,operating,1997,0,,,34.478865,133.441571,0.392130806,0.64,4705368.645,46,14,216446957.7
